Days	Date	Quant	Reasoning	English
1	16th Apr	Simplification	Blood Relation	Jumbled Paragraph(Odd one out)
2	17th Apr	Simplification	Blood Relation	Jumbled Paragraph(Odd one out)
3	18th Apr	Quadratic Equation	Puzzle and Seating Arrangement	Fillers-New pattern
4	19th Apr	Test of the week	Test of the Week	Test of the week
5	20th Apr	Quadratic Equation	Puzzle and Seating Arrangement	Fillers-New pattern
6	21st Apr	Approximation	Inequalities	Select Appropriate Word (four/five sentence)
7	22th Apr	Approximation	Inequalities	Select Appropriate Word (four/five sentence)
				
8	23rd Apr	Ratio and Proportion	Puzzle and Seating Arrangement	Cloze Test
				
9	24th Apr	Ratio and Proportion	Puzzle and Seating Arrangement	Cloze Test
10	25th Apr	Percentage	"Order, Raking and Direction"	Vocabulary New pattern
11	26th Apr	Test of the week	Test of the week	Test of the week
12	27th Apr	Percentage	"Order, Raking and Direction"	Vocabulary New pattern
13	28th Apr		Coding-Decoding (New Pattern)	Connectors word/phrase
		Average		
14	29th Apr	Average	Coding-Decoding (New Pattern)	Connectors word/phrase
15	30th Apr	"Time, work and wages"	Data Flow Diagram	Paragraph concluding Question
16	1st May	"Time, work and wages"	Data Flow Diagram	Paragraph concluding Question
17	2nd May	Pipes and Cisterns	Alpha Numeric Symbol Sequence	Analogies (word pair relationship)
18	3rd May	Test of the week	Test of the week	Test of the week
19	3rd May	Pipes and Cisterns	Alpha Numeric Symbol Sequence	Analogies (word pair relationship)
20	4th May	Time and Distance	Syllogism (New Pattern)	Jumbled word-odd man out
21	03rd Oct	Time and Distance	Syllogism (New Pattern)	Jumbled word-odd man out
22	04th Oct	Boats and Streams	Puzzle and Seating Arrangement	Questions on Writing Styles (Most concise manner)
23	05th Oct	Boats and Streams	Puzzle and Seating Arrangement	Questions on Writing Styles (Most concise manner)
24	06th Oct	Profit and Loss	Machine Input-Output	Idioms/phrases
				
25	07th Oct	Profit and Loss	Machine Input-Output	Idioms/phrases
26	08th Oct	Test of the week	Test of the week	Test of the week
27	09th Oct	Simple Interest	Blood Relation	Select grammatically correct sentence
28	10th Oct	Simple Interest	Puzzle and Seating Arrangement	Select grammatically correct sentence
29	11th Oct	Compound Interest	Puzzle and Seating Arrangement	Sentence Improvements
30	12th Oct	Compound Interest	Data Sufficiency	Sentence Improvements
31	13th Oct	Simple and Compound Interest	Data Sufficiency	Find the best restates sentence
